, 
52 , 
53 , 
55 , 
56 , 
57 , 
58 , 
58 , 
59 , 
60 , 
60 , 
60 , 
61 , 

46 , 
45 , 

46 , 
46 , 
4
6 , 
45 , 
46 
, 
46 , 
45 , 

46 , 
45 , 

45 , 
45 , 
45 , 

45 , 
45 , 

45 , 
45 , 
4
5 , 
45 , 
45 
, 
45 , 
46 , 

46 , 
47 , 

47 , 
47 , 
4
7 , 
46 , 
46 
, 
46 , 
47 , 

46 , 
47 , 

47 , 
47 , 
4
7 , 
47 , 
47 
, 
48 , 
48 , 

49 , 
49 , 

49 , 
49 , 
49 , 

50 , 
49 , 

50 , 
50 , 
50
 , 
49 , 
50 ,
 
49 , 
49 , 

49 , 
49 , 

49 , 
50 , 
51
 , 
50 , 
49 ,
 
49 , 
48 , 

47 , 
47 , 

46 , 
45 , 
46
 , 
47 , 
46 ,
 
46 , 
47 , 

47 , 
46 , 

46 , 
46 , 
46 , 

46 , 
45 ,
 
45 , 
45 , 
45
 , 
45 , 
46 ,
 
46 , 
46 , 

46 , 
46 , 
4
7 , 
47 , 
47
 , 
48 , 
47 ,
 
48 , 
48 , 

49 , 
49 , 
5
0 , 
50 , 
50
 , 
49 , 
49 ,
 
49 , 
49 , 

49 , 
49 , 
4
8 , 
47 , 
46
 , 
47 , 
46 , 
4
6 , 
46 , 
46 
, 
46 , 
46 , 

46 , 
45 , 

46 , 
45 , 
4
5 , 
46 , 
46 
, 
46 , 
46 , 

47 , 
46 , 

46 , 
46 , 
4
6 , 
46 , 
47 
, 
46 , 
46 , 

45 , 
46 , 

46 , 
45 , 
4
5 , 
45 , 
44 
, 
44 , 
44 , 

42 , 
43 , 
42 
, 
42 , 
41 , 

41 , 
40 , 

39 , 
40 , 
3
9 , 
39 , 
39 
, 
40 , 
40 , 

40 , 
38 , 

37 , 
37 , 
3
7 , 
36 , 
36 
, 
35 , 
35 , 

35 , 
35 , 

34 , 
33 , 
33 , 

33 , 
33 , 

33 , 
33 , 

